"FULL_KATO_NAME";"KATO_2_NAME";"KATO_2";"KATO_4_NAME";"KATO_4";"FAMILY_CAT_NEW";"filtr1";"filtr2";"filtr3";"filtr4";"filtr5";"filtr6";"filtr7";"filtr8";"filtr9";"filtr10";"ID_SK_FAMILY_QUALITY22";"filtr11";"filtr12";"filtr13";"filtr14";"filtr15";"filtr16";"filtr17";"filtr18";"filtr19";"filtr20";"filtr21";"filtr22";"filtr23";"filtr24";"filtr25";"filtr26";"filtr27";"filtr65";"filtr28";"filtr29";"filtr30";"filtr31";"filtr32";"filtr33";"filtr34";"count_iin";"KATO_42";"Rating"
г.Кокшетау;Акмолинская область;"11";Кокшетау Г.А.;"1110";В - удовлетворительный уровень семьи (ниже среднего);от 3 до 4 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье есть 1 сельхозтехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472170";В семье есть трое несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;5;"1110";"6"
Аксукентский с.о.;Туркестанская область;"61";Сайрамский район;"6152";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472174";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Административные центры сельских округов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;3;"6152";"11"
р.а. им.Казыбек би;Карагандинская область;"35";Караганда Г.А.;"3510";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472179";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"3510";"7"
г.Тараз;Жамбылская область;"31";Тараз Г.А.;"3110";А - благополучный уровень семьи (средний и выше);от 3 до 4 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье есть от 3 до 5 единиц жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье есть коммерческая недвижимость;В семье есть личное подсобное хозяйство с доходом от 1 000 до 2 000 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472181";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;9;"3110";"3"
Жартытобинский с.о.;Туркестанская область;"61";Сарыагашский район;"6154";С - Неблагополучный уровень семьи (необходим мониторинг) ;от черты бедности до 1 прожиточного минимума (СДД);В семье двое и более членов семьи работают;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом до 500 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472185";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть среднее образование;Административные центры сельских районов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;5;"6154";"9"
Әлихан Бөкейхан р.а.;Карагандинская область;"35";Караганда Г.А.;"3510";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472189";В семье есть два несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно не прикрепленые к школе;5;"3510";"7"
район Алматы;г.Астана;"71";г.Астана;"7111";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть учредители ТОО;"21472195";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть высшее образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"7111";"4"
Железинский с.о.;Павлодарская область;"55";Железинский район;"5542";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472196";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Два или более членов семьи имеют просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Административные центры сельских округов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;2;"5542";"6"
с.о.Бозайгыр;Акмолинская область;"11";Шортандинский район;"1168";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 4 и более прожиточных минимумов (СДД);Семьи без работающих членов семьи;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом до 500 тыс. тенге;В семье есть ИП;"214722";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"1168";"7"
Алматинский с.о.;Северо-Казахстанская область;"59";Есильский район;"5942";С - Неблагополучный уровень семьи (необходим мониторинг) ;от черты бедности до 1 прожиточного минимума (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом от 1 000 до 2 000 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472203";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Административные центры сельских районов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Есть обращение;В семье нет детей от 8 до 14 лет включительно;1;"5942";"8"
г.Рудный;Костанайская область;"39";Рудный Г.А.;"3924";В - удовлетворительный уровень семьи (ниже среднего);от 3 до 4 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472205";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье есть лица с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;3;"3924";"10"
Турксибский район;г.Алматы;"75";г.Алматы;"7519";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472206";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;2;"7519";"5"
Эмбинская г.а.;Актюбинская область;"15";Мугалжарский район;"1548";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 3 до 4 прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472214";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с не прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"1548";"7"
г.Кокшетау;Акмолинская область;"11";Кокшетау Г.А.;"1110";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472215";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"1110";"4"
Ростовский с.о.;Карагандинская область;"35";Бухар-Жырауский район;"3540";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472220";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;1;"3540";"10"
г.Тараз;Жамбылская область;"31";Тараз Г.А.;"3110";А - благополучный уровень семьи (средний и выше);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье есть от 3 до 5 единиц жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть сельхозземельные участки (более 1 Га);В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472221";В семье есть два несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть высшее образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;5;"3110";"2"
